Id;Created-At;Text
1,59E+18;28/10/2022;RT @TMCPoldaMetro: Pemberlakuan Rekayasa Lalu Lintas sehubungan dengan beroperasinya Off Ramp Jatiwaringin Jalan Tol Becakayu di Jl. Laksam…
1,59E+18;28/10/2022;@bovaxsholeh @YoGojekYo @ahmadsahroni88 @TMCPoldaMetro @PolsekKemayoran Emang banyak nih daerah sini polisi nya ajah cuk pada males patroli itu polres segede gaban di sith tetep ajah banyak jambret
1,59E+18;28/10/2022;@Badboy06864860 @TMCPoldaMetro Wawwww,banyak Punglinya,Pengendara yg melanggar  diajak masuk ke dalam pos
1,59E+18;28/10/2022;RT @bovaxsholeh: @YoGojekYo @ahmadsahroni88 Tambahan daerah yg rawan jambret bang udh cukup banyak korban nya..  Arah orang terdeket gw jd…
1,59E+18;28/10/2022;@TMCPoldaMetro min mau tanya ini kenapa gagal ya untuk perpanjang SIM di aplikasi Dirlantas Polri https://t.co/Y4pCYNXLlf
1,59E+18;28/10/2022;RT @TMCPoldaMetro: 05.28 Kecelakaan lalu lintas Sebuah Kendaraan Truk Pengangkut Tanah mengalami terguling di Tanjakan Jembatan Layang Grog…
1,59E+18;28/10/2022;#Polisi #Jakarta #DKIJakarta @TMCPoldaMetro: '11.16 Polri Sat Lantas Jaksel melakukan pengaturan dan pengamanan aksi penyampaian pendapat di Kementrian Kesehatan Kuningan Jakarta Selatan ' https://t.co/MjguNaSC7w, see more https://t.co/oJIVLJEX4N
1,59E+18;28/10/2022;Dahulukan selalu KA, menerobos Perlintasan Kereta yg telah memberikan isyarat utk berhenti dpt berakibat kecelakaan. https://t.co/H0Re6GL4hD
1,59E+18;28/10/2022;RT @infotolbsd: Pukul 12:25 wib lalin ruas tol PD.Aren-Serpong lancar dikedua arah cuaca cerah, hati hati dalam berkendara dan gunakan sela…
1,59E+18;28/10/2022;"Pukul 12:25 wib lalin ruas tol PD.Aren-Serpong lancar dikedua arah cuaca cerah, hati hati dalam berkendara dan gunakan selalu sabuk keselamatan anda. 
@TMCPoldaMetro @RadioElshinta @NusantaraInfra https://t.co/cNinJYNWw0"
1,59E+18;28/10/2022;Admin @TMCPoldaMetro pantai pasir putih PIK 2 sudah dibuka untuk umum kah?
1,59E+18;28/10/2022;Tapi pa ini potonya kaya mau nabrak-nabrakin rangorang di situ. https://t.co/DdScoZk3Eo
1,59E+18;28/10/2022;jd ke ditlantas polda metro untuk penerbitan BPKB yg balik nama, ditolak gak boleh masuk, karna jam operasional hanya sampai jam 14.00, pdhl belum jam 2  jg, maaf baru tau ternyata cuma sampe jm segitu, disayangkan karna klo jumat mana kepotong jumatan jg kan.. @TMCPoldaMetro https://t.co/wxfY7ELUYI
1,59E+18;28/10/2022;@TMCPoldaMetro sumpa jalankan video forno
1,59E+18;28/10/2022;@most1058 @TMCPoldaMetro gokilll macetnya https://t.co/gXFdHst2HN
1,59E+18;28/10/2022;RT @bovaxsholeh: @YoGojekYo @ahmadsahroni88 Tambahan daerah yg rawan jambret bang udh cukup banyak korban nya..  Arah orang terdeket gw jd…
1,59E+18;28/10/2022;@TMCPoldaMetro depan tambak macet paraah paaakkk https://t.co/SdIzxGKJtG
1,59E+18;28/10/2022;RT @bovaxsholeh: @YoGojekYo @ahmadsahroni88 Tambahan daerah yg rawan jambret bang udh cukup banyak korban nya..  Arah orang terdeket gw jd…
1,59E+18;28/10/2022;@TMCPoldaMetro coba sabtu di thamrin. bergrup di jalur 2 dan 3 , sisa kanan sendiri. sy ke pasar pake motornya ketutup. para pesepeda yg bergrum itu gak mau pakai jalur yg ada. trus untuk apa di buat jalur sepeda iku ?
1,59E+18;28/10/2022;@TMCPoldaMetro Kejadian apa ni mas, didaerah mana nihh
1,59E+18;28/10/2022;?@RadioElshinta? ?@TMCPoldaMetro? ?@SonoraFM92? Jl Tendean Jakaswlndua arah macet Total tidak pernah ada Solusi https://t.co/30z4Xux1al
1,59E+18;28/10/2022;RT @bovaxsholeh: @YoGojekYo @ahmadsahroni88 Tambahan daerah yg rawan jambret bang udh cukup banyak korban nya..  Arah orang terdeket gw jd…
1,59E+18;28/10/2022;@vanillalatte65 @YoGojekYo @ahmadsahroni88 @TMCPoldaMetro @PolsekKemayoran Yg penting jgn maen HP sma tas jgn di samping kak.. Sering sering liat spion
1,59E+18;28/10/2022;RT @Badboy06864860: @TMCPoldaMetro Manusia binatang perusak kriminal,..polisi sarang kejahatan????,@jokowi ,@ListyoSigitP ,@DPR_RI ,@mohmah…
1,59E+18;28/10/2022;RT @TMCPoldaMetro: Diimbau bagi pesepeda untuk bersepeda sesuai dengan jalur yang sudah disediakan. https://t.co/Tv32mLKQqm
1,59E+18;28/10/2022;RT @TMCPoldaMetro: 15.49 Kegiatan penyampaian pendapat disekitar Bundaran Patung Kuda Indosat Jakpus lalu lintas tersendat, agar pengendara…
1,59E+18;28/10/2022;RT @TMCPoldaMetro: 15.51 Polri Sat Gatur Dit Lantas PMJ Pengamanan & pengaturan kegiatan penyampaian pendapat disekitar Bundaran Patung Kud…
1,59E+18;28/10/2022;@TMCPoldaMetro Setiap ada demo di patung kuda jalan ditutup & kemacetan parah terjadi dimana2, sangat membebani warga masyarakat & repotkan petugas. Perlu relokasi tempat demo agar tdk berdampak parah thd kegiatan usaha & kerja warga. Kebebasan satu pihak
1,59E+18;28/10/2022;RT @TMCPoldaMetro: 15.49 Kegiatan penyampaian pendapat disekitar Bundaran Patung Kuda Indosat Jakpus lalu lintas tersendat, agar pengendara…
1,59E+18;28/10/2022;@RiyantoPeri @TMCPoldaMetro H-30 sudah bisa di perpanjang om
1,59E+18;28/10/2022;@JesslyneStella @TMCPoldaMetro Tangsel nih om https://t.co/QkeFtnKDVT
1,59E+18;28/10/2022;@TMCPoldaMetro Ijin ndan, hari sabtu ada pelayanan perpanjang SIM ha ndan.. Tks
1,59E+18;28/10/2022;15.51 Polri Sat Gatur Dit Lantas PMJ Pengamanan & pengaturan kegiatan penyampaian pendapat disekitar Bundaran Patung Kuda Indosat Jakpus lalu lintas tersendat, agar pengendara tetap berhati-hati https://t.co/TQoKYUuQEd
1,59E+18;28/10/2022;15.49 Kegiatan penyampaian pendapat disekitar Bundaran Patung Kuda Indosat Jakpus lalu lintas tersendat, agar pengendara tetap berhati-hati https://t.co/Sdltmrs0Mo
